target_dates,op_rate_0d_all_cars,op_rate_1d_all_cars,op_rate_2d_all_cars,op_rate_3d_all_cars,op_rate_4d_all_cars,op_rate_5d_all_cars,op_rate_6d_all_cars,op_rate_7d_all_cars,op_rate_0d_major_cars,op_rate_1d_major_cars,op_rate_2d_major_cars,op_rate_3d_major_cars,op_rate_4d_major_cars,op_rate_5d_major_cars,op_rate_6d_major_cars,op_rate_7d_major_cars
2019-11-20,0.3161665023,0.1288290941,0.07344963343,0.04798347722,0.04150133557,0.03583680787,0.02863263429,0.02360230637,0.3541568077,0.1332835484,0.07841624506,0.05133454993,0.04303101339,0.03712440798,0.03019078187,0.02472432819
2019-04-07,0.433709638,0.1657921412,0.1141377277,0.0912612961,0.07317062862,0.060375014,0.04836693019,0.04021197117,0.4771682716,0.1624589298,0.1161690997,0.09250492843,0.07545579879,0.06237517878,0.05113192718,0.0407725709
2020-09-20,0.4701353552,0.2526501234,0.1812408388,0.1425208297,0.1176794634,0.09551835619,0.07644192752,0.05988543656,0.4693908274,0.2595940609,0.1864167996,0.1469526088,0.1202115136,0.09814023696,0.07830466317,0.06074941141
2019-11-28,0.3208618522,0.1323360221,0.07575156855,0.05298956509,0.03852240998,0.03360247411,0.02960591846,0.02502016447,0.3583057237,0.1404338406,0.08216771982,0.05772073059,0.04184180391,0.03648511711,0.03087797926,0.02711791796
2021-06-26,0.4449237068,0.2334236827,0.1744140533,0.1448861853,0.1236168009,0.1026206228,0.08665350175,0.07787754469,0.4262411955,0.2308118717,0.167328449,0.1369241783,0.1144904703,0.09252783755,0.07832015462,0.07091317416
2020-08-31,0.3133881844,0.1420746644,0.1007322113,0.08110683475,0.06317224918,0.05191715938,0.04051390748,0.03840419549,0.3195820599,0.144684778,0.1019511214,0.08114055055,0.06158570822,0.04980613979,0.03761400194,0.03565074054
2019-10-16,0.3348459067,0.1285279591,0.07458722178,0.05074060634,0.04245442633,0.03513118603,0.02671094213,0.02140059388,0.3562667551,0.1328463261,0.07681636186,0.05164920342,0.04263424926,0.03392703449,0.02438382179,0.01915389768
2020-08-15,0.4984077982,0.2624412172,0.2025535961,0.173027893,0.15270574,0.1363404795,0.123184071,0.1161912172,0.4922065965,0.2700971028,0.201423,0.1679534119,0.1448867513,0.1270997256,0.1140304498,0.1059603402
2021-05-20,0.3301874954,0.1781938844,0.1404763317,0.1125711631,0.09390127654,0.08593550952,0.07856221941,0.07016321394,0.3171304531,0.1730384936,0.1334517416,0.1058573258,0.0865025422,0.07811528803,0.07092920987,0.06346342707
2021-07-27,0.3511195627,0.1790943389,0.1180688838,0.0988260508,0.08306943467,0.06735147037,0.05792797788,0.05181388125,0.3323832814,0.1720616476,0.1059059988,0.08747450336,0.07372801593,0.05942005989,0.05187752932,0.04624114399
2020-09-28,0.3097341536,0.1454072642,0.1035613588,0.08147456138,0.06436541043,0.05541433717,0.04685614071,0.03918206792,0.3151980942,0.1469469127,0.1006968178,0.07795530493,0.060026012,0.05099681021,0.0428647376,0.03491114149
